smiles,target
COC1=CC=CC=C1O,1
CC1=CC(=C(C=C1)N)C,1
C1=CC=C(C=C1)CCBr,0
CCCCOC(=O)N,0
C(CC(=O)O)[C@@H](C(=O)O)N.Cl,0
CC1=CC=CC=C1N=C(N)N=C(N)N,0
CCCCOC(=O)CO,0
CC(C)(C(=O)O)O,1
C(=O)(C(=O)O)O.O.O,1
C(CC(=O)O)C(=O)C(=O)O,1
NS(=O)(=O)O,1
CCCCCCCCCCCC(=O)O,0
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0
CC(C)(C)C(=O)OC,0
C1=NN=CN1N,0
C=CCCCCCCC=C,0
C(=O)([O-])[O-].[Na+].[Na+],0
CC(=O)CCC1=CC=CC=C1,0
COC1=C(C=CC(=C1)CC=C)O,0
C(=C(Cl)Cl)(Cl)Cl,0
C=CCCCCCCCCC(=O)[O-].[Na+],1
CC1=CC(=C(C=C1S(=O)(=O)O)OC)N,0
[OH-].[K+],1
C(CSSCCC(=O)O)C(=O)O,0
CC(C)O,0
C1=CC=C(C=C1)CCO,1
CCCCOC(=O)CC,0
CCCCCCCCCCCCCCCC(=O)OC,0
CCCCCCCCCCCC(=O)OC,0
C(=O)(O)[O-].[Na+],0
CCC(C)Br,0
CSC1=CC=C(C=C1)C=O,0
CCOCCOC(=O)C(=C)C,0
C1=CC=C(C=C1)/C=C/C=O,0
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,0
OS(=O)[O-].[Na+],0
C=CCCCCCCCCC(=O)O,0
CN(C)CC1=CC=CC=C1,1
[H+].[B-](F)(F)(F)F,1
C1=CC(=O)OC1=O,1
CCCCCCCCC(=O)O,1
CC(C)N(C)C,1
Cl,1
CCCCCCCN,1
CCCCCCCC(=O)O,1
CC1=C(C=C(C=C1)C(C)C)O,1
CC(C)(C)C1=CC=CC=C1O,1
CC(=C)C=O,1
CC(C(=O)O)O,1
O.OS(=O)(=O)[O-].[Na+],1
C(=O)C(=O)O.O,1
OS(=O)(=O)[O-].[Na+],1
C1CCC(CC1)N,1
CCC(C)C(=O)O,1
C(COC(=O)CBr)OC(=O)CBr,1
COCCCN,1
C=CCBr,1
C1CN(CCN1)CCN,1
Cl[Fe](Cl)Cl,1
OP(=O)(O)O,1
CCC(=O)O,1
CCCC(=O)O,1
B(F)(F)F.CC(=O)O.CC(=O)O,1
C(CO)N,1
Br,1
CC(CN)N,1
P(Br)(Br)Br,1
B(F)(F)F.O.O,1
C=CC(=O)O,1
C(=O)O,1
C(C(=O)Cl)(Cl)Cl,1
[N+](=O)([O-])[O-].[Ag+],1
C1=CC=C(C=C1)O,1
CC(=O)O,1
C(C(=O)O)Br,1
CN(C)CCCNCCCN,1
OS(=O)(=O)O,1
CC1=CCC(C1(C)C)/C=C/C(C)(C)C(C)O,0
CC(=CCC/C(=C/C=C/C(C)(C=C)O)/C)C,0
C1CCC(C1)OCCC2=CC=CC=C2,0
C(CCCBr)CCBr,0
CC1=CN=C(C(=C1OC)C)CCl.Cl,0
CC(CO)COC1CC2CCC1(C2(C)C)C,0
CC(C)(CCC1=CC=CC=C1)O,0
CC1=C(NN=C1)C,0
CC1C2CC3CC1C(C(C2)C3=C)OC(=O)C,0
CC1C2CC3CC1C(C(C2)C3=C)O,0
CC1=CCC(CC1)C(C)(C)O,0
CCOC(=O)C1=CC=CC=C1C(=O)OCC,0
CCC(O)OC(CC)O,0
C1=CC=C2C(=C1)C=CC=C2CC(=O)O,0
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,0
CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N,0
C=CCCC=C,0
C(CO)O,0
C(C(CO)O)O,0
CCC(C)(C)CC,0
C=CCOC(=O)COC1=CC=CC=C1,0
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,0
CCCCCCCCCCCCCCCCCC(=O)OC,0
CC(=O)OCC1=CC=CC=C1,0
CCCCCCCCCCCCCC(=O)OC(C)C,0
CCCCCCCCCCCCCCCC(=O)OC(C)C,0
CCCCCCC(=O)OCC=C,0
CCCCCCCOC(=O)CCC,0
CCCCCCOC(=O)C1=CC=CC=C1O,0
CC(=CCCC(C)(C=C)OC(=O)C)C,0
CC1=CCC(CC1)C(C)(C)OC(=O)C,0
CCCSSCCC,0
CC(C)CCCCCCCCCCCCCCC(=O)O,0
C1CC(C2=CC=CC=C2C1)N,1
[B]1OC2=CC=CC=C2O1,1
C1CCC(=O)CC1,1
CCCCNCCO,0
B1(OB(OB(O1)OC)OC)OC,0
C1=CC=C(C(=C1)[C@H](C(=O)O)O)Cl,1
CC1=CC(=C(C(=C1CC#N)C)O)C(C)(C)C,0
C=COC1=CC=C(C=C1)C(=O)C2=CC=CC=C2,0
B1(OC(C(O1)(C)C)(C)C)B2OC(C(O2)(C)C)(C)C,0
Cl[Cr](Cl)Cl,0
CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC.Cl,0
CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F.Cl,1
C1COC(=O)N1CCO,0
C1=CC=NN=C1,0
C1[C@@H]([C@H](CSS1)O)O,0
CCCCCC(=O)O,1
CCCCCCCCCCCCCCCCCCN,0
CC(C)(CC1=CC=CC=C1)O,0
P(Cl)(Cl)(Cl)(Cl)Cl,1
C(CS)O,1
CCCCCCCCCCCC(=O)OCCOCC(C1C(C(CO1)OCCO)OCCO)OCCO,0
C(=O)([O-])[O-].[Ca+2],0
C(#N)S.C(=N)(N)N,1
CCCCCCCC/C=C\CCCCCCCCNCCCNCCCN,0
CCCCCCCC/C=C\CCCCCCCCNCCCNCCCNCCCN,0
CCCCCCCCCCCCN(CCCN)CCCN,1
CCCCCCCCCCCC(=O)NCCCN(CCO)CCO,0
CC(C)CCCCCCCCCCOCCCNCCCN,0
[NH4+].[OH-],0
CCCCCCC(=O)O,1
CC(CCC(C(C)CC(C)(C)C)C(=O)O)CC(C)(C)C,0
C1=CC(=C(C=C1[N+](=O)[O-])Cl)F,0
CCCCOCC(C)OCC(C)O,0
CC(CCCC(C)(C)O)CC=O,0
CO[Si](CCCCl)(OC)OC,0
C(COCCOCCO)O,0
CCCCCCCCCCO,0
CC(C)COP(=O)(OCC(C)C)OCC(C)C,0
CCCCCCBr,0
CCCCOC(=O)C(=C)C,0
CC(C)C1=CC=C(C=C1)CC(C)C=O,0
